time,target_firing,target_energy,total_firing,avg_energy
0,0,99.90,0,99.89999999999982
1,0,99.80,0,99.80199999999985
2,0,99.71,0,99.70596000000003
3,0,99.61,0,99.61184080000015
4,0,99.52,0,99.51960398400004
5,0,99.43,0,99.4292119043202
6,0,99.34,0,99.34062766623357
7,0,99.25,0,99.25381511290894
8,0,99.17,0,99.16873881065095
9,0,99.09,0,99.08536403443765
10,0,99.00,0,99.00365675374888
11,1,88.90,99,89.00385602239821
12,0,89.03,1,89.02356361867409
13,0,89.15,0,89.14309234630076
14,0,89.26,0,89.26023049937449
15,0,89.38,0,89.37502588938715
16,1,79.28,48,84.58554387173268
17,0,79.59,37,81.01601720593357
18,0,79.90,6,80.68321638275592
19,0,80.20,0,80.96955205510065
20,0,80.50,0,81.25016101399885
21,1,70.40,48,76.53793416021908
22,0,70.89,37,73.0635904971237
23,0,71.37,6,72.87916219753636
24,0,71.84,0,73.32157895358567
25,0,72.31,0,73.75514737451391
26,1,62.21,48,69.11419616357038
27,0,62.86,38,65.6257633380827
28,0,63.51,6,65.5802443694362
29,0,64.14,0,66.16863948204742
30,0,64.75,0,66.74526669240645
31,1,54.65,49,62.07016163426269
32,0,55.46,38,58.664862228072415
33,0,56.25,6,58.74947852659098
34,0,57.03,0,59.47448895605924
35,0,57.79,0,60.184999176938106
36,1,47.69,49,55.57240983903134
37,0,48.63,38,52.243801224382416
38,0,49.56,6,52.44846109892532
39,0,50.47,0,53.29949187694669
40,0,51.36,0,54.133502039407865
41,1,41.26,49,49.57858551655099
42,0,42.33,38,46.32072414528423
43,0,43.39,6,46.63611828928213
44,0,44.42,0,47.603395923496464
45,0,45.43,0,48.55132800502652
46,1,35.33,50,43.94800290593805
47,0,36.52,38,40.757437937353345
48,0,37.69,6,41.17697041573635
49,0,38.84,0,42.253431007421604
50,0,39.96,0,43.30836238727315
51,1,29.86,46,39.20220887824396
52,0,31.17,40,35.84118787484589
53,0,32.44,8,36.12932819649059
54,0,33.69,0,37.306741632560666
55,0,34.92,0,38.4606067999095
56,1,24.82,23,37.00342110827828
57,0,26.22,53,32.18082952125258
58,0,27.60,16,31.633112718612328
59,0,28.95,1,32.78769755945188
60,0,30.27,1,33.91978948822588
61,0,31.56,1,35.03474545366818
62,0,32.83,12,34.87245358161943
63,1,22.73,44,31.08071446443341
64,0,24.18,28,29.184498180569545
65,0,25.59,7,29.707888218273514
66,0,26.98,1,30.900822092827056
67,0,28.34,2,31.96233760253166
68,0,29.67,1,33.111643169080814
69,0,30.98,9,33.32271396371486
70,1,20.88,48,29.09040419120338
71,0,22.36,26,27.451051453908562
72,0,23.82,7,28.006393037366344
73,0,25.24,1,29.232926844077486
74,0,26.64,2,30.32632972397825
75,0,28.00,1,31.50775872892325
76,0,29.34,8,31.862569166298144
77,1,19.24,46,27.872844623883026
78,0,20.76,29,25.907158357913012
79,0,22.24,7,26.490970625144577
80,0,23.70,1,27.74743199315792
81,0,25.12,2,28.869242108047438
82,0,26.52,1,30.079284266176213
83,0,27.89,8,30.460567770836324
84,1,17.79,46,26.485804314212086
85,0,19.33,29,24.53925813014879
86,0,20.85,7,25.148296021515584
87,0,22.33,1,26.43127347580569
88,0,23.78,2,27.578252807808482
89,0,25.21,1,28.813646496425864
90,0,26.60,8,29.21838565705207
91,1,16.50,46,25.256879961478194
92,0,18.07,29,23.327293378390323
93,0,19.61,7,23.95868161184403
94,0,21.12,1,25.265152465974097
95,0,22.60,2,26.434431997493494
96,0,24.05,1,27.69228730173591
97,0,25.47,8,28.11780854887633
98,1,15.37,46,24.16805113085687
99,0,16.96,29,22.253491992197446
100,0,18.52,0,23.70842215235349
101,0,20.05,0,25.134253709306417
102,0,21.55,0,26.531568635120294
103,0,23.02,0,27.90093726241784
104,0,24.46,0,29.242918517169514
105,0,25.87,0,30.55806014682613
106,0,27.25,0,31.846898943889624
107,0,28.60,0,33.10996096501183
108,0,29.93,0,34.34776174571156
109,0,31.23,0,35.56080651079731
110,0,32.51,0,36.74959038058139
111,0,33.76,0,37.91459857296976
112,0,34.98,0,39.05630660151037
113,0,36.18,0,40.17518046948015
114,0,37.36,0,41.27167686009059
115,0,38.51,0,42.346243322888775
116,0,39.64,0,43.39931845643099
117,0,40.75,0,44.43133208730232
118,0,41.84,0,45.44270544555629
119,0,42.90,0,46.43385133664512
120,0,43.94,0,47.405174309912255
121,0,44.96,0,48.357070823714004
122,0,45.96,0,49.28992940723976
123,0,46.94,0,50.20413081909497
124,0,47.90,0,51.10004820271299
125,0,48.85,0,51.978047238658775
126,0,49.77,0,52.83848629388562
127,0,50.67,0,53.68171656800786
128,0,51.56,0,54.50808223664776
129,0,52.43,0,55.31792059191477
130,0,53.28,0,56.11156218007647
131,0,54.12,0,56.889330936474906
132,0,54.93,0,57.65154431774548
133,0,55.73,0,58.39851343139054
134,0,56.52,0,59.1305431627627
135,0,57.29,0,59.847932299507484
136,0,58.04,0,60.55097365351731
137,0,58.78,0,61.239954180446965
138,0,59.51,0,61.91515509683805
139,0,60.22,0,62.576851994901254
140,0,60.91,0,63.22531495500324
141,0,61.59,0,63.86080865590319
142,0,62.26,0,64.4835924827851
143,0,62.92,0,65.09392063312941
144,0,63.56,0,65.69204222046683
145,0,64.19,0,66.27820137605755
146,0,64.80,0,66.85263734853635
147,0,65.41,0,67.41558460156563
148,0,66.00,0,67.96727290953432
149,0,66.58,0,68.50792745134365
150,0,67.15,0,69.03776890231686
151,0,67.71,0,69.55701352427046
152,0,68.25,0,70.06587325378497
153,0,68.79,0,70.56455578870926
154,0,69.31,0,71.05326467293517
155,0,69.82,0,71.53219937947645
156,0,70.33,0,72.00155539188688
157,0,70.82,0,72.46152428404916
158,0,71.30,0,72.91229379836822
159,0,71.78,0,73.35404792240087
160,0,72.24,0,73.78696696395278
161,0,72.70,0,74.21122762467381
162,0,73.14,0,74.62700307218034
163,0,73.58,0,75.03446301073676
164,0,74.01,0,75.43377375052201
165,0,74.43,0,75.82509827551164
166,0,74.84,0,76.20859631000137
167,0,75.24,0,76.58442438380135
168,0,75.64,0,76.95273589612533
169,0,76.03,0,77.31368117820284
170,0,76.41,0,77.66740755463874
171,0,76.78,0,78.01405940354601
172,0,77.14,0,78.35377821547499
173,0,77.50,0,78.68670265116563
174,0,77.85,0,79.01296859814231
175,0,78.19,0,79.33270922617943
176,0,78.53,0,79.64605504165584
177,0,78.86,0,79.95313394082277
178,0,79.18,0,80.25407126200625
179,0,79.50,0,80.54898983676614
180,0,79.81,0,80.83801004003082
181,0,80.11,0,81.12124983923025
182,0,80.41,0,81.39882484244563
183,0,80.70,0,81.67084834559672
184,0,80.99,0,81.93743137868482
185,0,81.27,0,82.19868275111111
186,0,81.54,0,82.45470909608892
187,0,81.81,0,82.70561491416714
188,0,82.07,0,82.95150261588383
189,0,82.33,0,83.19247256356606
190,0,82.59,0,83.42862311229486
191,0,82.83,0,83.66005065004893
192,0,83.08,0,83.88684963704793
193,0,83.32,0,84.10911264430698
194,0,83.55,0,84.32693039142085
195,0,83.78,0,84.54039178359244
196,0,84.00,0,84.74958394792058
197,0,84.22,0,84.95459226896227
198,0,84.44,0,85.15550042358296
199,0,84.65,0,85.35239041511124
